time_ps,d_topGa_min,d_GaN
3.200000000000000067e-01,2.494861945940094916e+00,2.025978524688749172e+00
3.300000000000000155e-01,2.505562483555339170e+00,2.041613847058252773e+00
3.400000000000000244e-01,2.523432021850399387e+00,2.003413904538949630e+00
3.500000000000000333e-01,2.540408952845977453e+00,1.942708943563085322e+00
3.600000000000000422e-01,2.553111837503401649e+00,1.915093522363856104e+00
3.699999999999999956e-01,2.538833641911181882e+00,1.927267889422744629e+00
3.800000000000000044e-01,2.483868519728852142e+00,1.971969763966984202e+00
3.900000000000000133e-01,2.459504950859014549e+00,2.017804053569126399e+00
4.000000000000000222e-01,2.418716475902042973e+00,2.022886576009638837e+00
4.100000000000000311e-01,2.419309612782124752e+00,1.967435751174609893e+00
4.200000000000000400e-01,2.465758306991988835e+00,1.887569808748804645e+00
4.299999999999999933e-01,2.534437395656084835e+00,1.877103372672906056e+00
4.400000000000000022e-01,2.600135324651392299e+00,1.945860540223784740e+00
4.500000000000000111e-01,2.657439895952493192e+00,2.020301995766969672e+00
4.600000000000000200e-01,2.708209583119446595e+00,2.042013399294920539e+00
4.700000000000000289e-01,2.701707496454788693e+00,1.985072628394236594e+00
4.800000000000000377e-01,2.653249191576246613e+00,1.885018003362302297e+00
4.900000000000000466e-01,2.603029119718025530e+00,1.859392809413868974e+00
5.000000000000000000e-01,2.561425514532873482e+00,1.948923314063434553e+00
5.100000000000000089e-01,2.539569050311489828e+00,2.041995380136791383e+00
5.200000000000000178e-01,2.486280798421610427e+00,2.071501765024591712e+00
5.300000000000000266e-01,2.400428118419712487e+00,2.028108998500819826e+00
5.400000000000000355e-01,2.356176910930076751e+00,1.918847089400299355e+00
5.500000000000000444e-01,2.360421222239792005e+00,1.830954489030243604e+00
5.600000000000000533e-01,2.409159696823769625e+00,1.879587558747929377e+00
5.700000000000000622e-01,2.490482054241708987e+00,2.029206653054341114e+00
5.800000000000000711e-01,2.582124398939756205e+00,2.148549057759677527e+00
5.900000000000000799e-01,2.659841313838102295e+00,2.172754353464745325e+00
5.999999999999999778e-01,2.715234590325485087e+00,2.108322136344443543e+00
6.099999999999999867e-01,2.746005629218557065e+00,1.995569993285125854e+00
6.199999999999999956e-01,2.749420887532499691e+00,1.901023172241727677e+00
6.300000000000000044e-01,2.720624350567347527e+00,1.902890054890192362e+00
6.400000000000000133e-01,2.648549494534696791e+00,2.013306467108274322e+00
6.500000000000000222e-01,2.540438532379794889e+00,2.144995248223174666e+00
6.600000000000000311e-01,2.437267563604784026e+00,2.200519912111681187e+00
6.700000000000000400e-01,2.373522629974274434e+00,2.139500070974525769e+00
6.800000000000000488e-01,2.366520107351720359e+00,1.982807812295483307e+00
6.900000000000000577e-01,2.415631804518229675e+00,1.849731522194504763e+00
7.000000000000000666e-01,2.498231353457881720e+00,1.871218522380537541e+00
7.100000000000000755e-01,2.572312840480333040e+00,1.968486511942614703e+00
7.200000000000000844e-01,2.530272984976127404e+00,2.022908165117734747e+00
7.299999999999999822e-01,2.452918923527640072e+00,1.996172888053537209e+00
7.399999999999999911e-01,2.401378629662553443e+00,1.903800833910942458e+00
7.500000000000000000e-01,2.394443115319300208e+00,1.842218472385943606e+00
7.600000000000000089e-01,2.431639083869149509e+00,1.851864195074790276e+00
7.700000000000000178e-01,2.500258297136517260e+00,1.895774149654963603e+00
7.800000000000000266e-01,2.578379460552693292e+00,1.934783523291429885e+00
7.900000000000000355e-01,2.586026634201589403e+00,1.944218244359413150e+00
8.000000000000000444e-01,2.539757422688236232e+00,1.941173999516787152e+00
8.100000000000000533e-01,2.518927263816880924e+00,1.942109201074955216e+00
8.200000000000000622e-01,2.527742823647215253e+00,1.937891380444219047e+00
8.300000000000000711e-01,2.562362890244080926e+00,1.956333872323433365e+00
8.400000000000000799e-01,2.614280777058959782e+00,1.969665245669933507e+00
8.500000000000000888e-01,2.619995336637071848e+00,1.950312321270621485e+00
8.599999999999999867e-01,2.559961714674655386e+00,1.907798789521578442e+00
8.699999999999999956e-01,2.517593027238517411e+00,1.878362063101786550e+00
8.800000000000000044e-01,2.497124793837905088e+00,1.912615336051658232e+00
8.900000000000000133e-01,2.501680868016542103e+00,1.964945226005040180e+00
9.000000000000000222e-01,2.533331664429275154e+00,1.988020060110058163e+00
9.100000000000000311e-01,2.579352587530444385e+00,1.965636503374924571e+00
9.200000000000000400e-01,2.556324009627887417e+00,1.898689963790824109e+00
9.300000000000000488e-01,2.530165532628251945e+00,1.863639910739196326e+00
9.400000000000000577e-01,2.515208460625083298e+00,1.912599433362877743e+00
9.500000000000000666e-01,2.511940225901086343e+00,2.007513687151347703e+00
9.600000000000000755e-01,2.509249510929513427e+00,2.083243501369918871e+00
9.700000000000000844e-01,2.498743784324434891e+00,2.076140780390385743e+00
9.800000000000000933e-01,2.454262427634827937e+00,2.005225997662108739e+00
9.900000000000001021e-01,2.427675221791415261e+00,1.943077513893874286e+00
1.000000000000000000e+00,2.438327306167078046e+00,1.921766357104838008e+00
1.010000000000000009e+00,2.492244359708735590e+00,1.948327853981459468e+00
1.020000000000000018e+00,2.547240549104069274e+00,2.022739997651700428e+00
1.030000000000000027e+00,2.504815450706898261e+00,2.074635852408802883e+00
1.040000000000000036e+00,2.478317670618518598e+00,2.055306842785280974e+00
1.050000000000000044e+00,2.484626147994904333e+00,1.996839161299677867e+00
1.060000000000000053e+00,2.519176071655175875e+00,1.931734905156501814e+00
1.070000000000000062e+00,2.566350133808712908e+00,1.875200355908669625e+00
1.080000000000000071e+00,2.608954729235446912e+00,1.858759704480382302e+00
1.090000000000000080e+00,2.632675541288747034e+00,1.893379068992788961e+00
1.100000000000000089e+00,2.638168053593250573e+00,1.955592713936109783e+00
1.110000000000000098e+00,2.635136604618440348e+00,1.993350988769664545e+00
1.120000000000000107e+00,2.632052629508003339e+00,1.979032146072670972e+00
1.130000000000000115e+00,2.634099178941446073e+00,1.931553866819405885e+00
1.140000000000000124e+00,2.629104816567798597e+00,1.900277995238855100e+00
1.150000000000000133e+00,2.595090499944077589e+00,1.922113816463790981e+00
1.160000000000000142e+00,2.546110134008346293e+00,1.954842248904243185e+00
1.170000000000000151e+00,2.513645130582278675e+00,1.977068148452399976e+00
1.180000000000000160e+00,2.513089246823518863e+00,1.988080370533596097e+00
1.189999999999999947e+00,2.538460734401853713e+00,1.976863989757515094e+00
1.199999999999999956e+00,2.574369929070023932e+00,1.916526189228835442e+00
1.209999999999999964e+00,2.605016020564940415e+00,1.901723132451198950e+00
1.219999999999999973e+00,2.618335981974047932e+00,1.991919232097526749e+00
1.229999999999999982e+00,2.625248767640888214e+00,2.049919918362666404e+00
1.239999999999999991e+00,2.596294009660693014e+00,1.989608976683609587e+00
1.250000000000000000e+00,2.517887344580769682e+00,1.867726257378205634e+00
1.260000000000000009e+00,2.451363335452335424e+00,1.835050683795954596e+00
1.270000000000000018e+00,2.401740007681931299e+00,1.918063572460516619e+00
1.280000000000000027e+00,2.386725967470920473e+00,2.009547463609655527e+00
1.290000000000000036e+00,2.417091885406923879e+00,2.032970821753229185e+00
1.300000000000000044e+00,2.478015729772512721e+00,1.988446348911631301e+00
1.310000000000000053e+00,2.487465377970114133e+00,1.884703245208645850e+00
1.320000000000000062e+00,2.492871269700863923e+00,1.843246821372548139e+00
1.330000000000000071e+00,2.487273974977424196e+00,1.946674702280789759e+00
1.340000000000000080e+00,2.475565820575166054e+00,2.038218657185729921e+00
1.350000000000000089e+00,2.476799927668764667e+00,2.002723080433238767e+00
1.360000000000000098e+00,2.500629309953795509e+00,1.877430763703418215e+00
1.370000000000000107e+00,2.539056496358440551e+00,1.820505310538807153e+00
1.380000000000000115e+00,2.577597922814960363e+00,1.917060011293334698e+00
1.390000000000000124e+00,2.605978263243958981e+00,2.045820603107711744e+00
1.400000000000000133e+00,2.626734893912973323e+00,2.110740216795993884e+00
1.410000000000000142e+00,2.653787640976570383e+00,2.079785620226277221e+00
1.420000000000000151e+00,2.692064259652804381e+00,1.969700356297880761e+00
1.430000000000000160e+00,2.737630805313236770e+00,1.862396820121855701e+00
1.440000000000000169e+00,2.766117640339977868e+00,1.876536815226388821e+00
1.450000000000000178e+00,2.725785009955848714e+00,1.991209160434935344e+00
1.459999999999999964e+00,2.671526835893662355e+00,2.078802568114634930e+00
1.469999999999999973e+00,2.609875660122526586e+00,2.066916460455041626e+00
1.479999999999999982e+00,2.534778050441496511e+00,1.938040886875197266e+00
1.489999999999999991e+00,2.446936814059571752e+00,1.826781450694088704e+00
1.500000000000000000e+00,2.361475356318586183e+00,1.923649357341404853e+00
1.510000000000000009e+00,2.299016764836655291e+00,2.093582411991465442e+00
1.520000000000000018e+00,2.279092580567977588e+00,2.194695912262107029e+00
1.530000000000000027e+00,2.307623271376851193e+00,2.206173385321289704e+00
1.540000000000000036e+00,2.371377304605911895e+00,2.118212539996871868e+00
1.550000000000000044e+00,2.456029582089758190e+00,1.914575251067452299e+00
1.560000000000000053e+00,2.552043445985981762e+00,1.742250175778438548e+00
1.570000000000000062e+00,2.635088144711671188e+00,1.849927180566845797e+00
1.580000000000000071e+00,2.655224854696867087e+00,2.070976247401211001e+00
1.590000000000000080e+00,2.588211184602215109e+00,2.173939640698424824e+00
1.600000000000000089e+00,2.535670355645623264e+00,2.131538030179147114e+00
1.610000000000000098e+00,2.514536352352058302e+00,1.991816467373437760e+00
1.620000000000000107e+00,2.528188779541590936e+00,1.819194102260668799e+00
1.630000000000000115e+00,2.569260571156611217e+00,1.786079008554772640e+00
1.640000000000000124e+00,2.622781515223866045e+00,1.961124834297908848e+00
1.650000000000000133e+00,2.674450927068956041e+00,2.131966260919717637e+00
1.660000000000000142e+00,2.713849524752615761e+00,2.190362782577351730e+00
1.670000000000000151e+00,2.737315056035750427e+00,2.125757008997029907e+00
1.680000000000000160e+00,2.743605632119893389e+00,1.980925838213031698e+00
1.690000000000000169e+00,2.714472125496962374e+00,1.823553492963670086e+00
1.700000000000000178e+00,2.664579935468253336e+00,1.779325778546469117e+00
1.710000000000000187e+00,2.605455345251574517e+00,1.946804226649407887e+00
1.719999999999999973e+00,2.541585655157032164e+00,2.189962471573428271e+00
1.729999999999999982e+00,2.495301348334505231e+00,2.372571540607363971e+00
1.739999999999999991e+00,2.406715026026139626e+00,2.405373605908237344e+00
1.750000000000000000e+00,2.340244201210633257e+00,2.268875286678401437e+00
1.760000000000000009e+00,2.321343736394936741e+00,1.994123940506205894e+00
1.770000000000000018e+00,2.352228006146512396e+00,1.712175247134474887e+00
1.780000000000000027e+00,2.401372472753862564e+00,1.827831708473184325e+00
1.790000000000000036e+00,2.459579886484680511e+00,2.150161701128546099e+00
1.800000000000000044e+00,2.538970205122541124e+00,2.331916222873369193e+00
